,popularity,genre_ids,revenue,12,16,14,9648,35,878,28,10770,10402,10752,27,53,37,36,99,18,10749,10751,80
119,82.521,"[28, 35, 80]",114996853.0,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True
120,82.38799999999998,"[35, 878]",252608480.0,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
121,81.8,"[12, 14]",1341511219.0,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
122,81.398,"[28, 27, 53]",118587880.0,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
123,81.396,"[28, 80, 18]",47088457.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True
124,80.759,"[12, 14]",954305868.0,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
125,80.295,"[28, 12, 14, 10749, 16, 878]",20725409.0,True,True,True,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False
126,79.846,"[28, 12, 14]",956019788.0,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
127,79.6,"[16, 35, 18, 10402, 10751]",634151679.0,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False
128,79.345,"[28, 12, 14]",821847012.0,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
129,79.145,"[28, 12, 878]",1405403694.0,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
130,77.72399999999998,[18],214215889.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
131,77.692,"[28, 12, 14, 878]",44664690.0,True,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
132,77.493,"[28, 80, 53]",1238764765.0,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True
133,77.313,"[18, 878]",259239658.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
134,77.22,"[28, 12, 16, 35, 10751]",521170825.0,True,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False
135,77.209,"[28, 53]",39238300.0,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
136,77.182,"[28, 12, 878, 53]",1671713208.0,True,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False
137,77.025,"[18, 27, 53]",89203432.0,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False
138,76.767,"[18, 27, 878]",340677200.0,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False
139,76.67699999999998,"[12, 16, 18, 14, 10749, 10751]",26617621.0,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False
140,76.181,"[28, 878, 53, 27]",137056262.0,False,False,False,False,False,True,True,False,False,False,True,True,False,False,False,False,False,False,False
141,76.101,"[28, 27, 53]",13416285.0,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
142,75.994,"[27, 878, 53]",89328627.0,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False
143,75.568,"[12, 18, 10751]",2520000.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
144,75.248,"[28, 12]",791017452.0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
145,75.155,"[35, 14, 9648, 10749]",164000.0,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
146,74.458,"[28, 16, 878]",125002821.0,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
147,74.395,"[16, 14, 10751]",124596398.0,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
148,74.064,"[18, 10749]",191540586.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False
149,74.015,"[28, 12, 16, 35, 14, 10751]",587204668.0,True,True,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False
150,73.597,"[28, 14]",821708551.0,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
151,73.38600000000002,"[28, 12, 14, 878]",290061297.0,True,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
152,72.52600000000002,"[27, 9648]",117719158.0,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
153,72.332,"[27, 37]",21200.0,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False
154,72.292,"[10749, 14, 16]",117195061.0,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
155,71.23,"[18, 14, 10749]",393616788.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False
156,70.98899999999998,"[28, 53]",163894.0,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
157,70.907,"[18, 53, 10749]",571006128.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False
